"filename", "language", "JSON", "CSS", "JavaScript", "XML", "JavaScript JSX", "Markdown", "HTML", "Properties", "YAML", "comment", "blank", "total"
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\backend\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\backend\package-lock.json", "JSON", 1459, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1460
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\backend\package.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\backend\src\config\db.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\backend\src\controllers\scanController.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 2, 12, 65
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\backend\src\controllers\userController.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 8, 50
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\backend\src\index.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\backend\src\middleware\authMiddleware.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\backend\src\models\User.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\backend\src\models\scanModel.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 4, 13
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\backend\src\routes\scanRoutes.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 5, 10, 64
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\backend\src\routes\userRoutes.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\backend\src\services\zapScan.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 6, 56
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 3, 12
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\package-lock.json", "JSON", 19504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19505
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\public\styles.css", "CSS", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\App.css", "CSS", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\App.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\components\Auth\Auth.css", "CSS", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 10, 83
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\components\Auth\Login.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 1, 7, 48
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\components\Auth\ScanForm.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 7, 51
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\components\Auth\ScanResults.css", "CSS", 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 8, 47
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\components\Auth\ScanResults.js", "JavaScript", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 13, 107
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\components\Auth\register.js", "JavaScript", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 7, 77
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\components\Layout\Footer.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\components\Layout\Header.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\components\pages\Dashboard.js", "JavaScript", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 8, 85
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\components\pages\Home.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\components\pages\Login.css", "CSS", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 11, 107
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\components\pages\ViewLogin.jsx", "JavaScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 0, 1, 9, 81
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\components\pages\ViewRegister.jsx", "JavaScript JSX", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 11, 96
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\index.css", "CSS", 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 6, 41
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\index.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\services\authService.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\frontend\src\styles.css", "CSS", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\package-lock.json", "JSON", 762, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 763
"c:\Users\dsmoy\Downloads\proyecto s1\audit-software\audit-software\package.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"Total", "-", 21825, 306, 711, 1, 156, 38, 13, 6, 9, 17, 240, 23322